time,open,high,low,close,MA,Volume,Volume MA
2024-10-30,2773.51,2790.07,2770.925,2787.475,2692.077750000003,407373,449808.15
2024-10-31,2786.87,2790.17,2731.635,2743.95,2696.469750000003,447697,453109.6
2024-11-01,2745.37,2762.275,2733.255,2736.45,2700.600250000003,439514,451364.15
2024-11-04,2732.04,2748.24,2731.77,2736.605,2705.301250000003,398027,448181.1
2024-11-05,2737.365,2750.09,2724.765,2743.91,2711.3985000000034,357215,436058.1
2024-11-06,2743.065,2749.78,2652.405,2659.175,2713.9705000000035,789740,452535.8
2024-11-07,2662.255,2710.52,2643.355,2706.84,2717.816500000003,532666,455193.15
2024-11-08,2704.26,2710.43,2680.415,2684.455,2719.180250000003,483390,460263.4
2024-11-11,2683.71,2686.165,2610.695,2619.595,2717.720750000003,455754,465390.65
2024-11-12,2621.07,2627.235,2589.725,2598.29,2714.500500000003,486364,465846
2024-11-13,2597.96,2618.92,2572.7,2572.83,2709.445500000003,494637,468445.1
2024-11-14,2573.84,2581.445,2536.855,2564.72,2703.0310000000027,543930,471877.95
2024-11-15,2566.485,2576.045,2554.395,2563.22,2695.097000000003,490288,473131.55
2024-11-18,2567.13,2615.145,2567.13,2612.04,2689.715250000003,432930,468360.3
2024-11-19,2610.755,2639.53,2610.465,2632.2,2683.877250000003,464478,469385
2024-11-20,2632.535,2655.485,2618.89,2650.46,2680.620750000003,412551,464390.05
2024-11-21,2649.925,2673.595,2648.975,2669.645,2677.2990000000036,392219,461639.55
2024-11-22,2669.5,2716.4,2668.2,2716.335,2675.7550000000037,498195,466832
2024-11-25,2711.165,2721.42,2615.67,2625.62,2669.9197500000037,557833,476020.05
2024-11-26,2627.485,2642.02,2605.31,2632.955,2662.838500000004,448212,476650.65
2024-11-27,2631.21,2658.275,2627.125,2636.09,2655.2692500000035,346215,473592.75
2024-11-28,2637.98,2649.735,2620.99,2637.6,2649.951750000004,245097,463462.75
2024-11-29,2639.285,2666.35,2634.09,2650.35,2645.646750000004,374632,460218.65
2024-12-02,2648.94,2651.905,2621.98,2638.955,2640.764250000004,480068,464320.7
2024-12-03,2638.96,2655.665,2634.165,2643.885,2635.7630000000036,387389,465829.4
2024-12-04,2642.66,2657.235,2632.465,2650.22,2635.315250000004,334814,443083.1
2024-12-05,2649.36,2655.635,2623.615,2631.925,2631.569500000004,288813,430890.45
2024-12-06,2631.985,2645.73,2613.11,2633.33,2629.0132500000036,374739,425457.9
2024-12-09,2643.08,2676.48,2627.575,2660.325,2631.0497500000038,366991,421019.75
2024-12-10,2661.1,2695.595,2658.035,2693.875,2635.8290000000034,336816,413542.35
2024-12-11,2695.145,2721.27,2675.465,2718.245,2643.0997500000035,309643,404292.65
2024-12-12,2717.81,2726.295,2675.165,2680.825,2648.9050000000034,242727,389232.5
2024-12-13,2680.705,2692.865,2646.22,2648.68,2653.178000000004,376400,383538.1
2024-12-16,2648.86,2664.475,2643.595,2652.75,2655.2135000000035,311160,377449.6
2024-12-17,2652.26,2658.74,2633.16,2646.6,2655.9335000000037,339086,371180
2024-12-18,2646.88,2651.785,2583.915,2585.61,2652.6910000000034,409156,371010.25
2024-12-19,2587.54,2626.44,2586.46,2594.55,2648.9362500000034,435472,373172.9
2024-12-20,2594.18,2631.92,2589.665,2623.61,2644.3000000000034,349070,365716.65
2024-12-23,2622.21,2633.39,2608.26,2612.755,2643.6567500000033,254740,350562
2024-12-24,2614.795,2621.535,2610.105,2616.875,2642.852750000003,193966,337849.7
2024-12-26,2615.31,2639.175,2615.145,2633.865,2642.7415000000033,205690,330823.45
2024-12-27,2633.3,2638.3,2611.715,2622.035,2641.9632500000034,243546,330745.9
2024-12-30,2622.075,2628.095,2596.185,2605.825,2639.7370000000037,240719,324050.25
2024-12-31,2606.065,2627.625,2602.76,2624.26,2639.002250000003,217489,310921.3
2025-01-02,2625.07,2660.605,2621.775,2658.23,2639.719500000004,368196,309961.65
2025-01-03,2657.82,2665.405,2636.705,2639.725,2639.1947500000033,306090,308525.45
2025-01-06,2639.88,2649.52,2614.635,2636.105,2639.4037500000036,379023,313035.95
2025-01-07,2635.965,2664.33,2633,2648.625,2640.168500000004,362076,312402.8
2025-01-08,2648.655,2670.15,2645.37,2661.655,2640.2350000000033,365878,312347.15
2025-01-09,2662.24,2678.405,2655.635,2670.34,2639.058250000003,252111,308111.9
2025-01-10,2670.45,2697.95,2664.075,2689.375,2637.6147500000034,399884,312623.95
2025-01-13,2689.32,2693.555,2656.835,2663.21,2636.734000000003,462733,323624.25
2025-01-14,2664.465,2678.395,2659.89,2677.51,2638.175500000004,402726,324940.55
2025-01-15,2676.94,2697.42,2669.365,2696.265,2640.3512500000033,391665,328965.8
2025-01-16,2696.16,2724.785,2690.05,2714.87,2643.7647500000035,437327,333877.85
2025-01-17,2714.215,2717.43,2699.3,2703.15,2649.6417500000034,367955,331817.8
2025-01-20,2703.135,2713.885,2689.375,2707.905,2655.3095000000035,347547,327421.55
2025-01-21,2708.015,2746.055,2702.815,2744.865,2661.3722500000035,469819,333459
2025-01-22,2744.55,2763.435,2741.965,2756.345,2668.5517500000033,375216,339482.8
2025-01-23,2755.74,2758.97,2735.96,2754.855,2675.450750000003,392044,349386.7
2025-01-24,2753.815,2786.06,2753.64,2770.885,2682.3017500000033,388861,358545.25
2025-01-27,2765.17,2772.745,2730.56,2740.655,2688.2327500000038,428593,367797.6
2025-01-28,2740.88,2765.09,2734.815,2763.42,2696.1125000000034,280528,369788.05
2025-01-29,2763.305,2766.265,2744.755,2760.09,2702.904000000003,345401,376183.65
2025-01-30,2758.43,2798.605,2758.39,2794.165,2709.700750000003,397704,377659.05
2025-01-31,2794.425,2817.215,2791.07,2797.94,2717.6115000000036,431361,383922.6
2025-02-03,2801.655,2830.755,2772.215,2814.71,2726.541750000003,547301,392336.5
2025-02-04,2813.3,2845.47,2807.275,2842.29,2736.225000000003,461656,397315.5
2025-02-05,2841.36,2882.31,2839.74,2867.215,2746.5030000000033,424896,400266.4
2025-02-06,2867.785,2873.34,2834.27,2855.925,2755.7822500000034,437120,409516.85
2025-02-07,2856.015,2886.855,2852.595,2861.25,2764.3760000000034,453343,412189.8
2025-02-10,2861.84,2911.965,2860.405,2908.175,2776.6242500000035,401791,409142.7
2025-02-11,2911.95,2942.78,2881.56,2897.615,2787.6295000000036,555190,416765.9
2025-02-12,2898.025,2909.265,2864.33,2903.96,2798.0142500000034,442740,419319.65
2025-02-13,2904.79,2929.48,2900.545,2928.33,2808.687250000003,353614,415134
2025-02-14,2928.05,2939.98,2877.025,2882.482,2817.6538500000033,464231,419947.8
2025-02-17,2893.375,2906.525,2878.785,2898.49,2827.183100000003,259385,415539.7
2025-02-18,2898.71,2936.955,2892.07,2935.465,2836.7131000000036,271936,405645.55
2025-02-19,2935.06,2947.08,2918.64,2933.26,2845.5588500000035,315664,402667.95
2025-02-20,2934.175,2954.955,2924.035,2939.385,2854.7853500000037,310009,398566.2
2025-02-21,2939.43,2949.93,2916.82,2936.26,2863.054100000004,325673,395406.8
2025-02-24,2939.785,2956.31,2921.475,2952.065,2873.6246000000037,331108,390532.55
2025-02-25,2952.84,2953.425,2888.18,2915.045,2881.2058500000035,411168,397064.55
2025-02-26,2915.835,2930.18,2890.865,2916.275,2889.0151000000033,280951,393842.05
2025-02-27,2915.98,2920.815,2867.795,2877.195,2893.1666000000037,403773,394145.5
2025-02-28,2876.52,2885.24,2832.72,2858.14,2896.1766000000034,382122,391683.55
2025-03-03,2873.14,2895.21,2859,2892.985,2900.090350000003,321052,380371.1
2025-03-04,2892.7,2927.91,2881.98,2917.85,2903.8683500000034,367828,375679.7
2025-03-05,2917.885,2929.98,2894.35,2919.265,2906.470850000004,441547,376512.25
2025-03-06,2918.685,2926.72,2891.15,2911.1,2909.2296000000033,386672,373989.85
2025-03-07,2912.935,2930.54,2896.91,2909.55,2911.6446000000037,417409,372193.15
2025-03-10,2912.41,2918.385,2880.31,2889.5,2910.710850000004,396075,371907.35
2025-03-11,2889.865,2922.225,2880.25,2915.695,2911.6148500000036,291853,358740.5
2025-03-12,2915.36,2940.69,2906.11,2933.61,2913.0973500000036,337358,353471.4
2025-03-13,2934.88,2989.3,2932.98,2988.695,2916.1156000000037,345954,353088.4
2025-03-14,2984.23,3005.04,2978.505,2984.91,2921.2370000000037,363349,348044.3
2025-03-17,2988.225,3001.975,2982.34,3001.13,2926.369000000004,270159,348583
2025-03-18,3001.16,3038.35,2999.46,3034.115,2931.301500000004,332214,351596.9
2025-03-19,3033.97,3051.97,3022.885,3047.14,2936.9955000000036,298178,350722.6
2025-03-20,3048.72,3057.59,3025.73,3044.66,2942.2592500000037,316888,351066.55
2025-03-21,3045.005,3047.55,2999.465,3023.985,2946.6455000000037,309391,350252.45
2025-03-24,3023.165,3033.34,3002.495,3012.15,2949.6497500000037,331307,350262.4
2025-03-25,3011.705,3036.07,3007.54,3020.09,2954.902000000004,263110,342859.5
2025-03-26,3021.175,3032.165,3012.33,3019.495,2960.063000000004,255599,341591.9
2025-03-27,3020.345,3059.755,3017.655,3056.605,2969.033500000004,342726,338539.55
2025-03-28,3056.07,3086.965,3054.235,3085.345,2980.393750000004,353799,337123.4
